Energy Intensity Error
-29.678 0 1
-29.62 0 1
-29.562 0 1
-29.504 9.3327e-05 2.8557e-05
-29.446 0.00010919 3.0934e-05
-29.388 0.00014276 4.3683e-05
-29.33 0.00014136 3.9552e-05
-29.272 0.00013409 2.8694e-05
-29.214 0.00013427 3.0719e-05
-29.156 0.00013817 3.1433e-05
-29.098 0.00014865 3.2278e-05
-29.04 0.0001275 2.9849e-05
-28.982 0.00017899 4.0607e-05
-28.924 0.00016595 3.8848e-05
-28.865 0.00015927 3.8201e-05
-28.807 0.00010064 2.724e-05
-28.749 0.00019015 4.5214e-05
-28.691 0.00011338 3.069e-05
-28.633 0.00012733 3.3812e-05
-28.575 0.00015117 3.8852e-05
-28.517 0.00015285 3.9581e-05
-28.459 8.7672e-05 2.6826e-05
-28.401 0.00016479 4.2674e-05
-28.343 0.00015937 4.1951e-05
-28.285 0.0001482 4.0113e-05
-28.227 0.00016964 4.4652e-05
-28.169 0.00015531 4.204e-05
-28.111 0.00019548 5.0241e-05
-28.053 0.00016254 4.3995e-05
-27.995 0.00017379 4.658e-05
-27.937 0.00013642 3.9166e-05
-27.879 0.00012538 3.7073e-05
-27.821 0.00015494 4.335e-05
-27.763 0.00015124 4.2845e-05
-27.705 0.00013301 3.9329e-05
-27.647 0.00010642 3.3901e-05
-27.589 0.00010891 3.4693e-05
-27.531 0.00013983 4.1347e-05
-27.473 0.00016494 4.6728e-05
-27.415 0.0001599 4.5906e-05
-27.357 0.00017777 4.9739e-05
-27.299 0.00021307 5.7109e-05
-27.241 0.00015171 4.4861e-05
-27.183 0.00016057 4.6761e-05
-27.125 0.00017941 5.0825e-05
-27.067 0.0001974 5.4588e-05
-27.009 0.00017591 5.0502e-05
-26.951 0.00013392 4.1775e-05
-26.893 0.00014516 4.4417e-05
-26.835 0.00015575 4.6819e-05
-26.777 0.00017411 5.0702e-05
-26.719 0.00015069 4.6109e-05
-26.661 0.00022361 6.1158e-05
-26.603 0.00010924 3.7547e-05
-26.545 0.00013701 4.3642e-05
-26.487 0.00014748 4.6006e-05
-26.429 0.00015864 4.8541e-05
-26.371 0.00018913 5.5077e-05
-26.313 0.00011456 3.9374e-05
-26.255 0.00013442 4.3812e-05
-26.197 0.000136 4.4328e-05
-26.138 0.00012758 4.2643e-05
-26.08 0.00021746 6.1606e-05
-26.022 0.00019714 5.741e-05
-25.964 0.0001494 4.7591e-05
-25.906 0.00013109 4.3817e-05
-25.848 0.00015109 4.8129e-05
-25.79 0.00016179 5.0467e-05
-25.732 0.00018387 5.5271e-05
-25.674 0.00015471 4.9283e-05
-25.616 0.00018674 5.6135e-05
-25.558 0.00015619 4.9754e-05
-25.5 0.00027278 7.3835e-05
-25.442 0.000149 4.8565e-05
-25.384 0.00011724 4.1569e-05
-25.326 0.00014903 4.8575e-05
-25.268 0.00013041 4.4823e-05
-25.21 0.00011981 4.2481e-05
-25.152 0.00014293 4.7774e-05
-25.094 0.0001754 5.4714e-05
-25.036 0.00013264 4.5589e-05
-24.978 0.00018941 5.7956e-05
-24.92 0.00015532 5.0622e-05
-24.862 0.00022277 6.4873e-05
-24.804 0.00011234 4.1248e-05
-24.746 9.1146e-05 3.6436e-05
-24.688 0.00018254 5.6941e-05
-24.63 9.1817e-05 3.6704e-05
-24.572 0.0001495 4.9972e-05
-24.514 0.00016411 5.3488e-05
-24.456 0.00015242 5.0946e-05
-24.398 0.0001176 4.3178e-05
-24.34 0.00011841 4.3474e-05
-24.282 0.00010711 4.0914e-05
-24.224 0.00017869 5.692e-05
-24.166 9.5598e-05 3.8216e-05
-24.108 0.00018151 5.782e-05
-24.05 0.00021831 6.5625e-05
-23.992 0.00020753 6.3502e-05
-23.934 8.4884e-05 3.5778e-05
-23.876 0.00011074 4.23e-05
-23.818 0.00019836 6.1875e-05
-23.76 0.0002106 6.444e-05
-23.702 0.00011151 4.2595e-05
-23.644 0.00013661 4.8435e-05
-23.586 0.00013744 4.873e-05
-23.528 0.00020119 6.2757e-05
-23.47 8.7554e-05 3.6904e-05
-23.412 8.8368e-05 3.7247e-05
-23.353 0.00012781 4.6927e-05
-23.295 0.00016511 5.5189e-05
-23.237 0.00026668 7.6561e-05
-23.179 0.00015405 5.2948e-05
-23.121 0.00010238 4.0928e-05
-23.063 0.00023105 6.9452e-05
-23.005 0.00017943 5.8481e-05
-22.947 0.0001547 5.3172e-05
-22.889 0.00014372 5.0956e-05
-22.831 0.00014352 5.0885e-05
-22.773 0.00018194 5.93e-05
-22.715 0.00018442 6.0107e-05
-22.657 0.00010549 4.2169e-05
-22.599 7.9706e-05 3.5776e-05
-22.541 0.00017252 5.7664e-05
-22.483 0.00014628 5.1865e-05
-22.425 0.00017616 5.8883e-05
-22.367 0.00018661 6.0822e-05
-22.309 0.00017453 5.8339e-05
-22.251 0.00014926 5.2921e-05
-22.193 0.00016411 5.6406e-05
-22.135 8.1971e-05 3.6793e-05
-22.077 0.00023198 7.0982e-05
-22.019 0.0002317 7.0898e-05
-21.961 0.0002206 6.8814e-05
-21.903 0.00012438 4.751e-05
-21.845 8.2616e-05 3.7082e-05
-21.787 0.00012434 4.7497e-05
-21.729 0.00012526 4.7849e-05
-21.671 0.00018138 6.0627e-05
-21.613 0.00019529 6.3652e-05
-21.555 0.00019747 6.4363e-05
-21.497 0.00011224 4.4869e-05
-21.439 0.00021056 6.7072e-05
-21.381 7.0156e-05 3.3995e-05
-21.323 0.00015579 5.5236e-05
-21.265 0.00012893 4.9249e-05
-21.207 0.00014128 5.1873e-05
-21.149 0.00012817 4.8961e-05
-21.091 5.74e-05 3.0632e-05
-21.033 0.00011494 4.5946e-05
-20.975 0.00014306 5.2525e-05
-20.917 5.758e-05 3.0729e-05
-20.859 5.8051e-05 3.098e-05
-20.801 0.00018827 6.293e-05
-20.743 0.00017366 5.9689e-05
-20.685 0.00013159 5.0267e-05
-20.626 0.00010266 4.3271e-05
-20.568 0.00014561 5.3463e-05
-20.51 8.7753e-05 3.9388e-05
-20.452 8.7778e-05 3.9399e-05
-20.394 7.3345e-05 3.5541e-05
-20.336 0.00010357 4.3655e-05
-20.278 0.00016289 5.7753e-05
-20.22 0.00020535 6.6929e-05
-20.162 0.00011971 4.7853e-05
-20.104 0.0001485 5.4523e-05
-20.046 0.00014867 5.4583e-05
-19.988 0.00016331 5.7904e-05
-19.93 0.00011979 4.7886e-05
-19.872 0.00016495 5.8486e-05
-19.814 0.00013473 5.1464e-05
-19.756 0.00014905 5.4723e-05
-19.698 0.00030163 8.7838e-05
-19.64 0.00010651 4.4893e-05
-19.582 0.00015088 5.5398e-05
-19.524 0.00018051 6.2044e-05
-19.466 0.00010633 4.4819e-05
-19.408 9.1608e-05 4.1119e-05
-19.35 0.00012214 4.8826e-05
-19.292 0.00019669 6.5743e-05
-19.234 0.00012198 4.8762e-05
-19.176 0.00013803 5.2724e-05
-19.118 0.00013738 5.2477e-05
-19.06 0.00010704 4.5119e-05
-19.002 0.00012319 4.9244e-05
-18.944 9.2988e-05 4.1738e-05
-18.886 6.1549e-05 3.2847e-05
-18.828 0.00015409 5.6575e-05
-18.77 0.00015453 5.6735e-05
-18.712 0.00015623 5.736e-05
-18.654 0.0001698 6.0203e-05
-18.596 0.00015562 5.7136e-05
-18.538 0.00020364 6.8067e-05
-18.48 0.00018754 6.4459e-05
-18.422 0.00015587 5.7228e-05
-18.364 0.00014037 5.3619e-05
-18.306 0.00014204 5.4259e-05
-18.248 0.00017307 6.1365e-05
-18.19 0.00012638 5.0521e-05
-18.132 7.802e-05 3.7806e-05
-18.074 0.00012594 5.0343e-05
-18.016 0.0002058 6.879e-05
-17.958 0.00011096 4.6771e-05
-17.9 7.8933e-05 3.8248e-05
-17.841 0.00020872 6.9765e-05
-17.783 0.00019214 6.6042e-05
-17.725 0.00014337 5.4766e-05
-17.667 0.00011133 4.6927e-05
-17.609 0.00012954 5.1782e-05
-17.551 0.00011263 4.7472e-05
-17.493 0.00022594 7.3641e-05
-17.435 0.00011168 4.7074e-05
-17.377 9.688e-05 4.3485e-05
-17.319 0.00017769 6.3001e-05
-17.261 0.00014613 5.5821e-05
-17.203 0.0001128 4.7546e-05
-17.145 9.6853e-05 4.3473e-05
-17.087 4.8639e-05 2.9511e-05
-17.029 0.00019566 6.7252e-05
-16.971 9.7133e-05 4.3598e-05
-16.913 8.1375e-05 3.9432e-05
-16.855 0.00017807 6.3137e-05
-16.797 0.0001143 4.8175e-05
-16.739 0.00011408 4.8086e-05
-16.681 6.5066e-05 3.4724e-05
-16.623 9.8628e-05 4.427e-05
-16.565 6.5404e-05 3.4904e-05
-16.507 0.00016228 5.9584e-05
-16.449 0.00011471 4.8349e-05
-16.391 0.00024544 7.8182e-05
-16.333 6.5151e-05 3.4769e-05
-16.275 0.00022981 7.4904e-05
-16.217 0.00011516 4.854e-05
-16.159 9.8746e-05 4.4323e-05
-16.101 8.2438e-05 3.9947e-05
-16.043 0.00016439 6.0355e-05
-15.985 0.00022916 7.4691e-05
-15.927 0.00023162 7.5492e-05
-15.869 0.00019788 6.8014e-05
-15.811 8.2737e-05 4.0092e-05
-15.753 0.00018254 6.4721e-05
-15.695 0.0001161 4.8936e-05
-15.637 0.0001328 5.3085e-05
